Fire
Right

20,45528
4,405186
0,9062024
-0,3932385
-0,1514302
-0,03506554
0,448
-6,613652
0,2120517
-6,443369
-8,555062
-6,436493
15,24778
-5,453584
74,678
0,08074908
0,2908991
-0,6077977
-0,7344654

26,98282
-8,292074
0,8818112
-0,4351237
-0,1635604
0,07952619
0,226
-10,42416
6,2465
-10,54047
1,87552
-3,224034
36,89648
-6,155286
79,31947
0,08080648
0,3816017
-0,5373114
-0,7477613

23,16491
11,44884
0,9268243
-0,3209623
-0,1948219
-0,00493033
0,355
-8,956762
12,25287
-6,821464
9,307241
-3,604764
41,51176
-5,639165
81,58363
4,886E-05
-0,3924934
0,5945131
0,7017857

17,98973
21,20276
0,9422556
-0,2485058
-0,2135087
-0,06937826
0,398
-7,676489
6,325454
-8,220112
-1,065587
-3,809138
31,3051
-3,859272
106,9352
0,01100705
0,3984711
-0,5718234
-0,71702

15,85718
22,47616
0,9413664
-0,2514511
-0,2121135
-0,07489806
0,379
-8,261593
12,83563
-4,53307
8,952809
-8,232945
17,4213
-5,451407
72,30206
0,01219459
-0,4548753
0,5511109
0,6994402

30,06579
14,57736
0,9217943
-0,3121463
-0,228238
0,02770158
0,422
-6,090885
7,580518
-8,242858
4,597872
-3,514179
29,01676
-4,512731
105,2399
0,0412969
0,4616619
-0,5619416
-0,6851165

29,18143
14,31203
0,909723
-0,37822
-0,1701738
0,01986415
0,555
-7,804774
7,050532
-11,14701
2,38064
-2,171854
42,42632
-4,429651
113,9132
0,0640378
0,4418206
-0,5234746
-0,725719

23,06929
9,83568
0,8964622
-0,4297758
-0,1062435
0,01899115
0,509
-6,500493
14,23645
-5,524745
13,82203
-2,65268
45,92039
-5,603756
81,52789
0,01087556
0,4716426
-0,5623855
-0,6790859

25,26813
0,6668656
0,8737455
-0,4450248
-0,1660836
0,104585
0,152
-11,53255
-1,502926
-8,24343
-0,9353536
-3,931407
19,6218
-5,825377
74,31268
0,00827478
-0,4948089
0,5548946
0,668721

19,60914
28,5455
0,9330054
-0,2727926
-0,2328336
-0,02955887
0,392
-9,368204
13,08527
-10,87732
7,414533
-3,891759
32,60371
-4,359464
108,4237
0,00081689
0,5484768
-0,5244626
-0,6512386

