Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;0,868;0,728;0,836;0,832;0,812;0,796;0,772;0,844
2;0,792;0,652;0,832;0,712;0,824;0,784;0,704;0,848
3;0,832;0,804;0,86;0,764;0,816;0,864;0,78;0,836
4;0,788;0,752;0,832;0,744;0,86;0,84;0,776;0,804
5;0,912;0,776;0,912;0,844;0,888;0,868;0,864;0,904
6;0,768;0,676;0,836;0,696;0,788;0,768;0,572;0,756
7;0,776;0,724;0,828;0,724;0,788;0,76;0,676;0,772
8;0,8;0,664;0,764;0,696;0,892;0,72;0,664;0,776
9;0,944;0,828;0,936;0,852;0,908;0,848;0,86;0,96
Mean;0,8311111111111111;0,7337777777777778;0,8484444444444443;0,7626666666666667;0,841777777777778;0,8053333333333333;0,7408888888888889;0,8333333333333334
Std.Dev.;0,0035583209876543184;0,003438617283950616;0,0022486913580246934;0,0036337777777777774;0,0018919506172839504;0,0024071111111111107;0,008120098765432099;0,003918222222222221
Min;0,768;0,652;0,764;0,696;0,788;0,72;0,572;0,756
Max;0,944;0,828;0,936;0,852;0,908;0,868;0,864;0,96
