Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;1,0;0,9047619047619048;1,0;1,0;1,0;1,0;1,0;1,0
2;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
3;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
6;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
8;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
9;1,0;0,875;1,0;1,0;1,0;1,0;1,0;1,0
Mean;1,0;0,9755291005291006;1,0;1,0;1,0;1,0;1,0;1,0
Std.Dev.;0,0;0,0021450967218162986;0,0;0,0;0,0;0,0;0,0;0,0
Min;1,0;0,875;1,0;1,0;1,0;1,0;1,0;1,0
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
