Repetition;Support Vector Machine;Decision Tree;Random Forest;k-Nearest-Neighbor;Logistic Regression;Gaussian Naive Bayes;Perceptron;Feed-forward Neural Network
1;0,9711399711399711;0,9856784819190836;1,0;1,0;0,9856784819190836;1,0;0,9058084772370487;1,0
2;1,0;1,0;1,0;1,0;1,0;0,9561563755937158;0,9238095238095239;1,0
3;0,9281954887218045;0,7842277587292298;0,8790627362055933;0,9579746467618321;0,9283046551954115;0,9281954887218045;0,7650077574889605;0,9711399711399711
4;1,0;0,7333333333333333;0,9711399711399711;1,0;1,0;1,0;1,0;1,0
5;1,0;1,0;1,0;1,0;1,0;1,0;0,9238095238095239;1,0
6;0,9856784819190834;0,9568184530590544;0,8951664876476907;0,9856784819190834;0,9856784819190834;0,9856784819190834;0,9856784819190836;0,894949494949495
7;1,0;1,0;1,0;0,9719753930280246;1,0;1,0;1,0;0,9856784819190836
8;1,0;0,8642857142857143;0,9406786638100215;1,0;0,9856784819190834;1,0;0,8343000358037952;0,9711399711399711
9;0,9238095238095239;0,8639455782312925;0,9711399711399711;0,9856784819190836;0,8639455782312925;0,8914869591561321;0,8244603896665085;0,9058084772370487
Mean;0,9787581628433758;0,9098099243953011;0,961909758882583;0,989034111514225;0,9721428532426616;0,973501922821193;0,9069860210816051;0,9698573773761745
Std.Dev.;0,0008819936484309893;0,009273272053555747;0,0019714347033023254;0,00020882936427426844;0,0019202400178614713;0,0014154449229709578;0,006257190074194287;0,001511262299525987
Min;0,9238095238095239;0,7333333333333333;0,8790627362055933;0,9579746467618321;0,8639455782312925;0,8914869591561321;0,7650077574889605;0,894949494949495
Max;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
